"office","candidatename","partyname","electiondate","machinevotessum","absenteevotessum","earlyvotessum","totalvotessum","totalvotespercentage","xmlreporttime","electionname"
"U.S. Representative in Congress","EARL COOPER","Democratic Party","2024-09-10T00:00:00.000","10451","1413","1693","13557","16.2152","2024-09-13T12:42:52.000","2024 Primary Election"
"State Representative District 34","TRACEY M. MILLER","Democratic Party","2024-09-10T00:00:00.000","852","172","148","1172","67.7065","2024-09-13T12:42:52.000","2024 Primary Election"
"Governor","MIKE RAMONE","Republican Party","2024-09-10T00:00:00.000","20412","1456","4546","26414","72.2919","2024-09-13T12:42:52.000","2024 Primary Election"
"Governor","BOBBY WILLIAMSON","Republican Party","2024-09-10T00:00:00.000","3194","464","495","4153","11.3662","2024-09-13T12:42:52.000","2024 Primary Election"
"State Representative District 34","ADE ADEWUNMI KUFORIJI","Democratic Party","2024-09-10T00:00:00.000","438","56","65","559","32.2935","2024-09-13T12:42:52.000","2024 Primary Election"
"Lieutenant Governor","SHERRY DORSEY WALKER","Democratic Party","2024-09-10T00:00:00.000","23253","3591","4191","31035","36.8093","2024-09-13T12:42:52.000","2024 Primary Election"
"State Representative District 29","MONICA SHOCKLEY PORTER","Democratic Party","2024-09-10T00:00:00.000","988","118","172","1278","43.3956","2024-09-13T12:42:52.000","2024 Primary Election"
"Lieutenant Governor","KYLE EVANS GAY","Democratic Party","2024-09-10T00:00:00.000","29828","4402","6408","40638","48.199","2024-09-13T12:42:52.000","2024 Primary Election"
"State Representative District 20","STELL PARKER SELBY","Democratic Party","2024-09-10T00:00:00.000","1528","447","799","2774","83.1037","2024-09-13T12:42:52.000","2024 Primary Election"
"Lieutenant Governor","DEBBIE HARRINGTON","Democratic Party","2024-09-10T00:00:00.000","9063","1977","1600","12640","14.9918","2024-09-13T12:42:52.000","2024 Primary Election"
"State Representative District 29","WILLIAM BUSH","Democratic Party","2024-09-10T00:00:00.000","1076","216","375","1667","56.6044","2024-09-13T12:42:52.000","2024 Primary Election"
"State Representative District 27","ERIC MORRISON","Democratic Party","2024-09-10T00:00:00.000","1277","154","139","1570","59.7185","2024-09-13T12:42:52.000","2024 Primary Election"
"State Representative District 27","MARGIE LOPEZ WAITE","Democratic Party","2024-09-10T00:00:00.000","925","68","66","1059","40.2815","2024-09-13T12:42:52.000","2024 Primary Election"
"State Representative District 21","MICHAEL ALEXANDER SMITH","Democratic Party","2024-09-10T00:00:00.000","886","118","108","1112","49.3345","2024-09-13T12:42:52.000","2024 Primary Election"
"Insurance Commissioner","KAYODE ABEGUNDE","Democratic Party","2024-09-10T00:00:00.000","16561","2231","2777","21569","26.0413","2024-09-13T12:42:52.000","2024 Primary Election"
"U.S. Representative in Congress","SARAH MCBRIDE","Democratic Party","2024-09-10T00:00:00.000","48390","8357","10017","66764","79.8546","2024-09-13T12:42:52.000","2024 Primary Election"
"Insurance Commissioner","TRINIDAD NAVARRO","Democratic Party","2024-09-10T00:00:00.000","44331","7757","9169","61257","73.9587","2024-09-13T12:42:52.000","2024 Primary Election"
"State Senator District 18","ROBERT ""BOB"" REED","Republican Party","2024-09-10T00:00:00.000","836","60","188","1084","24.2668","2024-09-13T12:42:52.000","2024 Primary Election"
"State Senator District 18","DAVE WILSON","Republican Party","2024-09-10T00:00:00.000","2722","141","520","3383","75.7332","2024-09-13T12:42:52.000","2024 Primary Election"
"Sussex County Council District 2","STEVE MCCARRON","Republican Party","2024-09-10T00:00:00.000","2004","99","432","2535","58.4505","2024-09-13T12:42:52.000","2024 Primary Election"
"Sussex County Council District 2","CYNTHIA GREEN","Republican Party","2024-09-10T00:00:00.000","1394","111","297","1802","41.5495","2024-09-13T12:42:52.000","2024 Primary Election"
"State Representative District 2","STEPHANIE T. BOLDEN","Democratic Party","2024-09-10T00:00:00.000","1043","120","213","1376","64.6009","2024-09-13T12:42:52.000","2024 Primary Election"
"State Representative District 21","FRANK BURNS","Democratic Party","2024-09-10T00:00:00.000","927","117","98","1142","50.6655","2024-09-13T12:42:52.000","2024 Primary Election"
"Sussex County Council District 1","MIKE VINCENT","Republican Party","2024-09-10T00:00:00.000","990","56","268","1314","37.9988","2024-09-13T12:42:52.000","2024 Primary Election"
"Sussex County Council District 1","CHRISTIE SHIREY","Republican Party","2024-09-10T00:00:00.000","96","9","40","145","4.19318","2024-09-13T12:42:52.000","2024 Primary Election"
"Sussex County Council District 1","MATT LLOYD","Republican Party","2024-09-10T00:00:00.000","1520","103","376","1999","57.808","2024-09-13T12:42:52.000","2024 Primary Election"
"Kent County Levy Court District 5","GEORGE JODY SWEENEY","Democratic Party","2024-09-10T00:00:00.000","793","152","141","1086","59.1503","2024-09-13T12:42:52.000","2024 Primary Election"
"State Representative District 2","JAMES TAYLOR","Democratic Party","2024-09-10T00:00:00.000","587","53","114","754","35.3991","2024-09-13T12:42:52.000","2024 Primary Election"
"Kent County Levy Court District 5","SUSAN LANYON","Democratic Party","2024-09-10T00:00:00.000","567","98","85","750","40.8497","2024-09-13T12:42:52.000","2024 Primary Election"
"Kent County Register of Wills","SUSANNE WHITNEY","Republican Party","2024-09-10T00:00:00.000","2290","177","427","2894","40.7376","2024-09-13T12:42:52.000","2024 Primary Election"
"Kent County Register of Wills","COLIN BONINI","Republican Party","2024-09-10T00:00:00.000","3431","256","523","4210","59.2624","2024-09-13T12:42:52.000","2024 Primary Election"
"City of Wilmington City Council Member At-Large","ALEXANDER HACKETT","Democratic Party","2024-09-10T00:00:00.000","3018","374","604","3996","19.595","2024-09-13T12:42:52.000","2024 Primary Election"
"City of Wilmington City Council Member At-Large","WAYNNA DOBSON","Democratic Party","2024-09-10T00:00:00.000","1912","252","425","2589","12.6955","2024-09-13T12:42:52.000","2024 Primary Election"
"City of Wilmington City Council Member At-Large","DANIELLE COVINGTON","Democratic Party","2024-09-10T00:00:00.000","2350","292","407","3049","14.9512","2024-09-13T12:42:52.000","2024 Primary Election"
"City of Wilmington City Council Member At-Large","MARIA D. CABRERA","Democratic Party","2024-09-10T00:00:00.000","3660","456","691","4807","23.5718","2024-09-13T12:42:52.000","2024 Primary Election"
"U.S. Representative in Congress","ELIAS WEIR","Democratic Party","2024-09-10T00:00:00.000","2567","390","329","3286","3.93029","2024-09-13T12:42:52.000","2024 Primary Election"
"City of Wilmington City Council Member At-Large","LATISHA ""TISH"" BRACY","Democratic Party","2024-09-10T00:00:00.000","4613","514","825","5952","29.1865","2024-09-13T12:42:52.000","2024 Primary Election"
"City of Wilmington City Council District 7","CHRIS JOHNSON","Democratic Party","2024-09-10T00:00:00.000","472","52","54","578","56.2257","2024-09-13T12:42:52.000","2024 Primary Election"
"City of Wilmington City Council District 7","JAMES DAHLKE","Democratic Party","2024-09-10T00:00:00.000","84","11","16","111","10.7977","2024-09-13T12:42:52.000","2024 Primary Election"
"State Representative District 10","STEPHEN JANKOVIC","Democratic Party","2024-09-10T00:00:00.000","156","26","15","197","7.33433","2024-09-13T12:42:52.000","2024 Primary Election"
"City of Wilmington City Council District 7","PEGGY A. BROOKS","Democratic Party","2024-09-10T00:00:00.000","280","24","35","339","32.9767","2024-09-13T12:42:52.000","2024 Primary Election"
"City of Wilmington City Council District 5","CHRISTIAN WILLAUER","Democratic Party","2024-09-10T00:00:00.000","383","35","38","456","51.5254","2024-09-13T12:42:52.000","2024 Primary Election"
"City of Wilmington City Council District 5","BREGETTA A. FIELDS","Democratic Party","2024-09-10T00:00:00.000","340","24","65","429","48.4746","2024-09-13T12:42:52.000","2024 Primary Election"
"At-Large","TAWANNA PROPHET BRINKLEY","NONPARTISAN","2023-05-09T00:00:00.000","217","8","0","225","21.9085","2023-05-12T09:21:52.000","Caesar Rodney School Board Election"
"District 2","LEO J. DARMSTADTER III","NONPARTISAN","2023-05-09T00:00:00.000","138","1","0","139","27.4704","2023-05-12T09:24:46.000","Indian River School Board Election"
"At-Large","IVY BONK","NONPARTISAN","2023-05-09T00:00:00.000","82","4","0","86","32.8244","2023-05-12T09:25:02.000","Laurel School Board Election"
"District 2","IVAN D. NEAL","NONPARTISAN","2023-05-09T00:00:00.000","256","10","0","266","52.5692","2023-05-12T09:24:46.000","Indian River School Board Election"
"District E","YONG PENG","NONPARTISAN","2023-05-09T00:00:00.000","1119","19","0","1138","32.2106","2023-05-12T09:23:33.000","Christina School Board Election"
"At-Large","ARMORE RICE","NONPARTISAN","2023-05-09T00:00:00.000","379","1","0","380","45.6182","2023-05-12T09:25:18.000","Seaford School Board Election"
"District A","SHAWN L. LOVENGUTH","NONPARTISAN","2023-05-09T00:00:00.000","1396","12","0","1408","35.8818","2023-05-12T09:24:12.000","Cape Henlopen School Board Election"
"At-Large","ASHLEE CONNELL","NONPARTISAN","2023-05-09T00:00:00.000","1042","8","0","1050","56.0897","2023-05-12T09:22:13.000","Milford School Board Election"
"At-Large","SHANE BOWDEN","NONPARTISAN","2023-05-09T00:00:00.000","326","8","0","334","59.6429","2023-05-12T09:24:30.000","Delmar School Board Election"
"At-Large","TASHIBA A. GRAHAM","NONPARTISAN","2023-05-09T00:00:00.000","967","3","0","970","39.2236","2023-05-12T09:23:06.000","Appoquinimink School Board Election"
"At Large","MARIE FONTAINE ST PIERRE","NONPARTISAN","2023-05-09T00:00:00.000","158","3","0","161","23.1322","2023-05-12T09:22:32.000","Smyrna School Board Election"
"At-Large","RAYMOND JOSEPH PETKEVIS","NONPARTISAN","2023-05-09T00:00:00.000","961","5","0","966","39.0619","2023-05-12T09:23:06.000","Appoquinimink School Board Election"
"District E","Y.F. LOU","NONPARTISAN","2023-05-09T00:00:00.000","2365","30","0","2395","67.7894","2023-05-12T09:23:33.000","Christina School Board Election"
"District C","CHRISTINE A. GILBERT","NONPARTISAN","2023-05-09T00:00:00.000","1204","22","0","1226","34.79","2023-05-12T09:23:33.000","Christina School Board Election"
"At-Large","SABRINA ISLER","NONPARTISAN","2023-05-09T00:00:00.000","174","2","0","176","67.1756","2023-05-12T09:25:02.000","Laurel School Board Election"
"At-Large","DAVID TULL","NONPARTISAN","2023-05-09T00:00:00.000","139","3","0","142","17.0468","2023-05-12T09:25:18.000","Seaford School Board Election"
"At-Large","STEPHANIE SMITH","NONPARTISAN","2023-05-09T00:00:00.000","305","6","0","311","37.3349","2023-05-12T09:25:18.000","Seaford School Board Election"
"At-Large","EMILY PHELAN","NONPARTISAN","2023-05-09T00:00:00.000","243","2","0","245","23.8559","2023-05-12T09:21:52.000","Caesar Rodney School Board Election"
"District D","CARLUCCI COELHO","NONPARTISAN","2023-05-09T00:00:00.000","1899","26","0","1925","41.2559","2023-05-12T09:23:51.000","Red Clay Consolidated School Board Election"
"At-Large","DAWN M. TURNER","NONPARTISAN","2023-05-09T00:00:00.000","224","2","0","226","40.3571","2023-05-12T09:24:30.000","Delmar School Board Election"
"At-Large","NICOLE HILL","NONPARTISAN","2023-05-09T00:00:00.000","542","15","0","557","54.2356","2023-05-12T09:21:52.000","Caesar Rodney School Board Election"
"District A","JOHN SHULLI","NONPARTISAN","2023-05-09T00:00:00.000","1945","28","0","1973","42.9941","2023-05-12T09:23:51.000","Red Clay Consolidated School Board Election"
"At-Large","DANIELLE DEINERT","NONPARTISAN","2023-05-09T00:00:00.000","814","8","0","822","43.9103","2023-05-12T09:22:13.000","Milford School Board Election"
"At-Large","TIMOTHY W. JOHNS","NONPARTISAN","2023-05-09T00:00:00.000","528","9","0","537","21.7145","2023-05-12T09:23:06.000","Appoquinimink School Board Election"
"District A","JESSICA A. TYNDALL","NONPARTISAN","2023-05-09T00:00:00.000","2448","68","0","2516","64.1182","2023-05-12T09:24:12.000","Cape Henlopen School Board Election"
"At Large","BOBBI JO WEBBER","NONPARTISAN","2023-05-09T00:00:00.000","528","7","0","535","76.8678","2023-05-12T09:22:32.000","Smyrna School Board Election"
"District C","DOUGLAS DANGER MANLEY","NONPARTISAN","2023-05-09T00:00:00.000","2271","27","0","2298","65.21","2023-05-12T09:23:33.000","Christina School Board Election"
"District A","AJE ENGLISH-WYNN","NONPARTISAN","2023-05-09T00:00:00.000","2578","38","0","2616","57.0059","2023-05-12T09:23:51.000","Red Clay Consolidated School Board Election"
"District 2","MICHAEL R. BELLEROSE","NONPARTISAN","2023-05-09T00:00:00.000","100","1","0","101","19.9605","2023-05-12T09:24:46.000","Indian River School Board Election"
"District D","JOSE MATTHEWS","NONPARTISAN","2023-05-09T00:00:00.000","2701","40","0","2741","58.7441","2023-05-12T09:23:51.000","Red Clay Consolidated School Board Election"
"SC County Council District 5","JOHN L. RIELEY","Republican Party","2022-11-08T00:00:00.000","7921","450","2260","10631","63.4459","2022-11-12T00:25:01.000","2022 General Election"
"Representative in Congress","LISA BLUNT ROCHESTER","Democratic Party","2022-11-08T00:00:00.000","127059","16736","34621","178416","55.4692","2022-11-12T00:25:01.000","2022 General Election"
"Representative in Congress","LEE MURPHY","Republican Party","2022-11-08T00:00:00.000","112482","5706","20013","138201","42.9664","2022-11-12T00:25:01.000","2022 General Election"
"Representative in Congress","CODY MCNUTT","Libertarian Party","2022-11-08T00:00:00.000","2726","129","219","3074","0.9557","2022-11-12T00:25:01.000","2022 General Election"
"Representative in Congress","DAVID ROGERS","Non-Partisan Delaware","2022-11-08T00:00:00.000","1565","168","225","1958","0.608738","2022-11-12T00:25:01.000","2022 General Election"
"Attorney General","KATHY JENNINGS","Democratic Party","2022-11-08T00:00:00.000","122087","16162","33588","171837","53.8326","2022-11-12T00:25:01.000","2022 General Election"
"Attorney General","JULIANNE E. MURRAY","Republican Party","2022-11-08T00:00:00.000","119946","6256","21167","147369","46.1674","2022-11-12T00:25:01.000","2022 General Election"
"Auditor of Accounts","LYDIA YORK","Democratic Party","2022-11-08T00:00:00.000","122043","16237","33484","171764","54.197","2022-11-12T00:25:01.000","2022 General Election"
"Auditor of Accounts","JANICE LORRAH","Republican Party","2022-11-08T00:00:00.000","118077","6116","20968","145161","45.803","2022-11-12T00:25:01.000","2022 General Election"
"State Treasurer","COLLEEN DAVIS","Democratic Party","2022-11-08T00:00:00.000","121002","16123","33313","170438","53.6399","2022-11-12T00:25:01.000","2022 General Election"
"State Treasurer","GREG COVERDALE","Republican Party","2022-11-08T00:00:00.000","119836","6246","21225","147307","46.3601","2022-11-12T00:25:01.000","2022 General Election"
"State Senator District 1","SARAH MCBRIDE","Democratic Party","2022-11-08T00:00:00.000","10132","1073","1999","13204","100","2022-11-12T00:25:01.000","2022 General Election"
"State Senator District 2","DARIUS J. BROWN","Democratic Party","2022-11-08T00:00:00.000","6341","538","810","7689","100","2022-11-12T00:25:01.000","2022 General Election"
"State Senator District 3","S. ELIZABETH LOCKMAN","Democratic Party","2022-11-08T00:00:00.000","4548","430","736","5714","100","2022-11-12T00:25:01.000","2022 General Election"
"State Senator District 4","LAURA STURGEON","Democratic Party","2022-11-08T00:00:00.000","8500","996","1266","10762","56.5796","2022-11-12T00:25:01.000","2022 General Election"
"State Senator District 4","TED KITTILA","Republican Party","2022-11-08T00:00:00.000","7358","375","526","8259","43.4204","2022-11-12T00:25:01.000","2022 General Election"
"State Senator District 5","KYLE EVANS GAY","Democratic Party","2022-11-08T00:00:00.000","7986","833","1652","10471","66.2763","2022-11-12T00:25:01.000","2022 General Election"
"State Senator District 5","DANIEL R. SCHMICK","Republican Party","2022-11-08T00:00:00.000","4645","231","452","5328","33.7237","2022-11-12T00:25:01.000","2022 General Election"
"State Senator District 6","RUSS HUXTABLE","Democratic Party","2022-11-08T00:00:00.000","5965","2022","6144","14131","51.4791","2022-11-12T00:25:01.000","2022 General Election"
"State Senator District 6","STEPHEN SMYK","Republican Party","2022-11-08T00:00:00.000","8081","884","4083","13048","47.5337","2022-11-12T00:25:01.000","2022 General Election"
"State Senator District 6","GWENDOLYN ""WENDY"" JONES","Non-Partisan Delaware","2022-11-08T00:00:00.000","158","40","73","271","0.98725","2022-11-12T00:25:01.000","2022 General Election"
"State Senator District 7","SPIROS MANTZAVINOS","Democratic Party","2022-11-08T00:00:00.000","6268","664","731","7663","58.6888","2022-11-12T00:25:01.000","2022 General Election"
"State Senator District 7","M. SHERM PORTER","Republican Party","2022-11-08T00:00:00.000","4893","204","297","5394","41.3112","2022-11-12T00:25:01.000","2022 General Election"
"State Senator District 8","DAVID P. SOKOLA","Democratic Party","2022-11-08T00:00:00.000","6258","803","1401","8462","62.8678","2022-11-12T00:25:01.000","2022 General Election"
"State Senator District 8","VICTOR JOHN SETTING II","Republican Party","2022-11-08T00:00:00.000","4405","188","405","4998","37.1322","2022-11-12T00:25:01.000","2022 General Election"
"State Senator District 9","JACK WALSH","Democratic Party","2022-11-08T00:00:00.000","5627","633","912","7172","61.4989","2022-11-12T00:25:01.000","2022 General Election"
"State Senator District 9","BRENDA MENNELLA","Republican Party","2022-11-08T00:00:00.000","4010","157","323","4490","38.5011","2022-11-12T00:25:01.000","2022 General Election"
"State Senator District 10","STEPHANIE L. HANSEN","Democratic Party","2022-11-08T00:00:00.000","8971","722","1107","10800","100","2022-11-12T00:25:01.000","2022 General Election"
"State Senator District 11","BRYAN TOWNSEND","Democratic Party","2022-11-08T00:00:00.000","7106","645","1092","8843","100","2022-11-12T00:25:01.000","2022 General Election"
"State Senator District 12","NICOLE POORE","Democratic Party","2022-11-08T00:00:00.000","7984","657","1585","10226","62.149","2022-11-12T00:25:01.000","2022 General Election"
"State Senator District 12","BILL ALEXANDER","Republican Party","2022-11-08T00:00:00.000","5390","182","656","6228","37.851","2022-11-12T00:25:01.000","2022 General Election"
"State Senator District 13","MARIE PINKNEY","Democratic Party","2022-11-08T00:00:00.000","6871","555","1185","8611","100","2022-11-12T00:25:01.000","2022 General Election"
"State Senator District 14","KYRA HOFFNER","Democratic Party","2022-11-08T00:00:00.000","6449","659","1296","8404","51.8286","2022-11-12T00:25:01.000","2022 General Election"
"State Senator District 14","MARK PUGH","Republican Party","2022-11-08T00:00:00.000","6893","268","650","7811","48.1714","2022-11-12T00:25:01.000","2022 General Election"
"State Senator District 15","DAVE LAWSON","Republican Party","2022-11-08T00:00:00.000","10174","420","1220","11814","100","2022-11-12T00:25:01.000","2022 General Election"
"State Senator District 16","ERIC BUCKSON","Republican Party","2022-11-08T00:00:00.000","7694","554","1329","9577","100","2022-11-12T00:25:01.000","2022 General Election"
"State Senator District 17","TREY PARADEE","Democratic Party","2022-11-08T00:00:00.000","5132","831","1588","7551","64.4009","2022-11-12T00:25:01.000","2022 General Election"
"State Senator District 17","ED RUYTER","Republican Party","2022-11-08T00:00:00.000","3354","225","595","4174","35.5991","2022-11-12T00:25:01.000","2022 General Election"
"State Senator District 18","BILLY DEVARY","Democratic Party","2022-11-08T00:00:00.000","3318","459","888","4665","30.0348","2022-11-12T00:25:01.000","2022 General Election"
"State Senator District 18","DAVE WILSON","Republican Party","2022-11-08T00:00:00.000","9305","428","1134","10867","69.9652","2022-11-12T00:25:01.000","2022 General Election"
"State Senator District 19","BRIAN G. PETTYJOHN","Republican Party","2022-11-08T00:00:00.000","9571","772","2799","13142","100","2022-11-12T00:25:01.000","2022 General Election"
"State Senator District 20","GERALD W. HOCKER","Republican Party","2022-11-08T00:00:00.000","11041","1243","4866","17150","100","2022-11-12T00:25:01.000","2022 General Election"
"State Senator District 21","BRYANT L. RICHARDSON","Republican Party","2022-11-08T00:00:00.000","7719","424","1870","10013","86.7678","2022-11-12T00:25:01.000","2022 General Election"
"State Senator District 21","CHRIS DALTON","Libertarian Party","2022-11-08T00:00:00.000","409","44","88","541","4.68804","2022-11-12T00:25:01.000","2022 General Election"
"State Senator District 21","SONJA MEHAFFEY","Non-Partisan Delaware","2022-11-08T00:00:00.000","561","186","239","986","8.54419","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 1","NNAMDI O. CHUKWUOCHA","Democratic Party","2022-11-08T00:00:00.000","4345","432","737","5514","88.0831","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 1","MARK PRESCOTT GARDNER","Republican Party","2022-11-08T00:00:00.000","629","37","80","746","11.9169","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 2","STEPHANIE T. BOLDEN","Democratic Party","2022-11-08T00:00:00.000","2504","223","428","3155","100","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 3","SHERRY DORSEY WALKER","Democratic Party","2022-11-08T00:00:00.000","2595","221","410","3226","100","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 4","KEEGAN WORLEY","Democratic Party","2022-11-08T00:00:00.000","2428","656","1527","4611","39.6645","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 4","JEFF HILOVSKY","Republican Party","2022-11-08T00:00:00.000","4991","346","1327","6664","57.3247","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 4","AMY S. FRESH","Independent Party Of Delaware","2022-11-08T00:00:00.000","264","27","59","350","3.01075","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 5","KENDRA JOHNSON","Democratic Party","2022-11-08T00:00:00.000","3349","274","600","4223","79.6342","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 5","ALEXANDER M. HOMICH","Republican Party","2022-11-08T00:00:00.000","849","39","120","1008","19.0081","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 5","MARK PARKS","Non-Partisan Delaware","2022-11-08T00:00:00.000","61","4","7","72","1.35772","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 6","DEBRA J. HEFFERNAN","Democratic Party","2022-11-08T00:00:00.000","4893","509","950","6352","67.8632","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 6","MICHAEL KRAWCZUK","Republican Party","2022-11-08T00:00:00.000","2664","113","231","3008","32.1368","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 7","LARRY LAMBERT","Democratic Party","2022-11-08T00:00:00.000","3550","309","798","4657","71.2842","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 7","SHANE S. STONEMAN","Republican Party","2022-11-08T00:00:00.000","1624","64","188","1876","28.7158","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 8","SHERAE'A ""RAE"" MOORE","Democratic Party","2022-11-08T00:00:00.000","3925","336","499","4760","58.07","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 8","DAVID W. THOMAS","Republican Party","2022-11-08T00:00:00.000","3096","145","196","3437","41.93","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 9","TERRELL A. WILLIAMS","Democratic Party","2022-11-08T00:00:00.000","3534","303","673","4510","44.0903","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 9","KEVIN HENSLEY","Republican Party","2022-11-08T00:00:00.000","4835","236","648","5719","55.9097","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 10","SEAN MATTHEWS","Democratic Party","2022-11-08T00:00:00.000","4454","521","892","5867","65.2905","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 10","BRENT BURDGE","Republican Party","2022-11-08T00:00:00.000","2709","141","269","3119","34.7095","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 11","JEFFREY N. SPIEGELMAN","Republican Party","2022-11-08T00:00:00.000","5294","236","328","5858","100","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 12","KRISTA GRIFFITH","Democratic Party","2022-11-08T00:00:00.000","5792","692","1075","7559","62.9602","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 12","BEN GREGG","Republican Party","2022-11-08T00:00:00.000","3887","254","306","4447","37.0398","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 13","DESHANNA U. NEAL","Democratic Party","2022-11-08T00:00:00.000","2834","257","298","3389","60.6913","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 13","CARLUCCI COELHO","Republican Party","2022-11-08T00:00:00.000","2000","67","128","2195","39.3087","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 14","PETE SCHWARTZKOPF","Democratic Party","2022-11-08T00:00:00.000","4006","1197","3252","8455","65.0485","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 14","CARL PHELPS","Republican Party","2022-11-08T00:00:00.000","2910","308","1325","4543","34.9515","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 15","VALERIE LONGHURST","Democratic Party","2022-11-08T00:00:00.000","3910","347","829","5086","68.8507","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 15","MICHAEL HIGGIN","Republican Party","2022-11-08T00:00:00.000","1986","66","249","2301","31.1493","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 16","FRANKLIN D. COOKE JR.","Democratic Party","2022-11-08T00:00:00.000","3532","331","481","4344","100","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 17","MELISSA MINOR-BROWN","Democratic Party","2022-11-08T00:00:00.000","3549","274","540","4363","100","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 18","SOPHIE PHILLIPS","Democratic Party","2022-11-08T00:00:00.000","3236","284","540","4060","71.4915","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 18","GLORIA HOPE PAYNE","Republican Party","2022-11-08T00:00:00.000","1446","56","117","1619","28.5085","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 19","KIMBERLY WILLIAMS","Democratic Party","2022-11-08T00:00:00.000","3865","423","381","4669","100","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 20","STELL PARKER SELBY","Democratic Party","2022-11-08T00:00:00.000","2687","931","3017","6635","51.4381","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 20","DALLAS A. WINGATE","Republican Party","2022-11-08T00:00:00.000","3660","394","2210","6264","48.5619","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 21","FRANK BURNS","Democratic Party","2022-11-08T00:00:00.000","3421","329","596","4346","49.7995","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 21","MICHAEL RAMONE","Republican Party","2022-11-08T00:00:00.000","3846","215","320","4381","50.2005","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 22","MICHAEL F. SMITH","Republican Party","2022-11-08T00:00:00.000","6490","482","510","7482","100","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 23","PAUL BAUMBACH","Democratic Party","2022-11-08T00:00:00.000","3523","449","851","4823","61.5257","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 23","BRITTANY RAMONE GOMEZ","Republican Party","2022-11-08T00:00:00.000","2669","107","240","3016","38.4743","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 24","EDWARD OSIENSKI","Democratic Party","2022-11-08T00:00:00.000","2847","304","493","3644","66.3994","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 24","JOAN E. GODWIN","Republican Party","2022-11-08T00:00:00.000","1653","74","117","1844","33.6006","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 25","CYNDIE ROMER","Democratic Party","2022-11-08T00:00:00.000","2981","329","589","3899","64.5423","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 25","LYNN MEY","Republican Party","2022-11-08T00:00:00.000","1891","88","163","2142","35.4577","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 26","MADINAH WILSON-ANTON","Democratic Party","2022-11-08T00:00:00.000","2909","262","439","3610","70.4803","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 26","TIMOTHY S. CONRAD","Republican Party","2022-11-08T00:00:00.000","1358","52","102","1512","29.5197","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 27","ERIC MORRISON","Democratic Party","2022-11-08T00:00:00.000","3958","325","552","4835","53.3547","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 27","JOHN MARINO","Republican Party","2022-11-08T00:00:00.000","3781","138","308","4227","46.6453","2022-11-12T00:25:01.000","2022 General Election"
"State Representative District 28","BILL CARSON","Democratic Party","2022-11-08T00:00:00.000","3432","400","722","4554","100","2022-11-12T00:25:01.000","2022 General Election"
